20	10
0	58	35	67	6	63	22	18	17	45	9	35	74	86	80	5	90	82	53	66	
22	0	21	75	62	78	58	84	64	96	44	3	93	31	69	73	50	73	54	38	
43	92	0	83	77	100	91	100	29	55	99	52	94	87	39	0	84	50	58	74	
85	91	38	0	59	74	58	44	67	99	22	5	72	54	59	92	1	31	86	88	
99	4	18	56	0	64	49	81	69	17	65	64	45	4	50	64	63	22	31	1	
52	19	58	47	77	0	58	50	91	65	28	4	63	37	20	87	19	80	87	28	
76	99	93	99	70	8	0	41	66	85	77	7	82	74	0	34	7	24	64	57	
3	53	68	70	33	59	92	0	79	44	30	34	86	50	48	84	55	20	26	22	
69	61	26	35	0	68	37	44	0	72	14	12	26	90	15	50	76	29	87	97	
7	92	0	15	43	75	25	25	15	0	91	33	57	75	9	48	78	28	50	23	
59	6	70	26	94	61	66	33	47	99	0	3	48	87	82	10	80	31	55	22	
25	93	26	55	97	7	73	62	84	100	85	0	10	72	78	77	44	71	27	19	
39	42	13	100	97	11	57	29	73	65	54	35	0	4	12	71	74	5	58	13	
96	26	54	22	53	65	30	88	12	3	51	11	96	0	63	51	2	10	21	59	
89	38	58	8	47	1	16	48	37	81	15	77	98	71	0	22	86	45	99	37	
38	65	30	97	86	95	28	87	95	18	83	89	27	34	4	0	59	100	100	46	
26	68	70	93	65	53	14	7	17	10	90	31	44	83	53	31	0	50	91	18	
11	52	45	20	1	71	92	21	35	74	17	16	63	90	84	50	19	0	65	51	
5	18	67	86	48	99	44	28	76	35	38	32	78	76	0	20	37	31	0	36	
67	42	94	32	25	42	62	20	59	81	75	92	90	23	19	62	31	80	13	0	
