20	2
0	8	65	96	72	86	18	20	61	41	74	53	91	64	26	68	38	67	100	3	
22	0	77	76	70	21	2	52	76	93	79	58	58	8	39	19	23	91	17	1	
4	86	0	38	83	73	65	7	26	41	57	10	41	56	50	35	91	19	32	25	
2	73	81	0	15	31	33	24	6	77	75	67	2	10	70	88	65	68	85	21	
87	55	13	55	0	35	99	26	85	22	88	5	41	78	92	79	3	27	24	4	
100	84	47	44	41	0	18	53	74	96	4	39	55	71	2	43	0	17	51	59	
0	9	67	2	33	49	0	36	48	97	96	80	30	9	100	99	35	37	52	25	
92	17	47	87	25	36	40	0	27	29	18	63	66	21	2	66	15	92	9	88	
23	91	60	71	94	74	10	56	0	65	4	52	50	5	62	59	86	30	39	89	
63	77	53	54	5	37	46	87	5	0	27	35	65	12	84	64	60	55	74	69	
46	44	68	59	100	66	33	56	94	98	0	97	62	51	96	40	9	98	5	81	
89	86	53	88	16	96	27	15	45	24	66	0	32	34	77	68	27	31	74	46	
5	56	70	97	78	34	50	31	1	31	40	36	0	37	65	37	70	70	20	34	
23	4	35	55	54	24	50	85	20	14	11	3	63	0	44	20	90	31	92	89	
30	95	23	45	47	32	18	73	74	82	74	87	97	56	0	90	15	89	9	36	
67	6	92	84	94	33	89	8	8	59	2	41	45	61	32	0	43	19	38	39	
76	31	78	71	54	55	64	59	69	48	61	38	9	2	9	83	0	19	64	68	
22	34	98	27	50	37	67	38	14	2	43	55	63	66	63	9	22	0	45	5	
54	14	3	94	12	0	47	42	66	79	49	49	97	40	20	94	60	61	0	67	
82	45	23	81	42	29	53	12	97	1	75	88	47	1	82	13	24	77	71	0	
