20	4
0	33	37	76	74	40	73	47	77	18	61	21	13	4	13	97	32	68	95	71	
56	0	63	84	80	20	46	66	55	26	38	60	4	50	81	18	21	67	39	28	
28	50	0	82	47	91	82	72	58	73	67	85	55	12	74	9	73	21	93	7	
82	88	38	0	88	45	23	10	56	69	51	42	54	70	80	49	10	18	100	20	
58	19	7	14	0	45	79	2	52	41	93	37	60	92	5	41	72	16	38	59	
28	85	64	53	12	0	6	44	38	36	55	25	86	89	65	13	7	25	48	52	
74	40	9	2	28	94	0	29	83	91	96	59	42	100	74	16	72	15	16	73	
73	27	14	17	22	79	86	0	33	23	12	2	21	83	11	30	74	79	30	92	
88	34	87	41	9	74	99	27	0	78	81	54	49	81	79	99	38	71	50	3	
61	98	87	17	69	25	78	45	95	0	2	37	70	86	40	55	88	32	97	13	
42	59	3	38	61	17	85	35	86	83	0	20	47	21	99	70	6	67	70	38	
42	33	35	34	33	14	15	79	47	26	69	0	70	14	9	24	49	16	94	6	
76	15	73	8	82	71	54	10	60	89	74	31	0	30	21	76	34	13	84	53	
75	40	73	51	53	31	86	37	93	38	99	32	60	0	34	25	51	37	19	58	
50	46	95	7	24	5	73	82	57	70	92	77	37	17	0	24	74	29	31	39	
98	87	61	41	69	47	8	51	61	15	23	68	1	87	37	0	13	60	14	12	
18	94	64	27	68	44	44	61	21	86	30	77	94	86	72	56	0	96	19	17	
61	75	69	13	31	53	71	99	67	13	73	74	71	0	61	9	95	0	92	2	
65	25	76	24	56	31	93	53	75	11	35	35	91	30	28	40	78	88	0	77	
10	40	10	18	88	97	62	72	55	63	76	30	20	9	16	96	6	21	33	0	
