20	4
0	14	28	31	27	42	80	60	64	8	42	32	64	28	4	44	21	76	44	50	
59	0	57	89	80	12	39	49	58	90	29	47	12	15	4	96	84	79	50	51	
76	22	0	37	91	1	51	32	14	41	30	62	70	59	36	5	83	14	81	67	
12	75	100	0	45	1	77	57	46	6	24	5	13	6	31	79	37	64	1	3	
68	89	8	95	0	37	21	72	1	27	60	51	91	26	36	11	82	37	66	6	
43	73	17	15	29	0	99	60	2	73	28	54	2	30	14	53	9	75	85	27	
31	47	74	66	9	72	0	43	54	14	54	43	46	67	31	10	59	10	33	82	
98	34	100	19	99	16	57	0	52	22	73	14	55	45	81	100	35	51	49	17	
38	87	83	96	96	15	95	24	0	50	86	79	87	48	30	11	60	32	24	72	
19	25	8	60	42	17	55	97	69	0	37	60	39	49	53	7	71	66	80	46	
64	0	45	27	39	91	25	39	56	63	0	25	18	39	56	17	7	66	39	8	
58	68	73	42	65	52	62	49	72	41	48	0	9	97	29	64	85	86	30	58	
35	52	7	77	40	16	89	87	55	0	55	37	0	67	20	8	4	100	47	96	
31	92	4	97	49	85	31	35	8	7	12	62	79	0	43	53	47	27	52	60	
55	83	0	96	15	38	20	41	41	62	11	53	8	53	0	32	20	35	43	31	
16	99	73	86	100	83	56	2	67	42	48	39	30	9	25	0	97	40	17	43	
2	57	4	8	78	10	45	34	30	85	94	43	35	30	25	11	0	68	84	39	
25	91	41	14	62	97	48	94	28	4	89	31	38	24	48	70	33	0	44	33	
26	30	30	37	99	76	67	59	11	87	17	51	10	40	18	14	3	34	0	87	
35	59	27	6	70	87	52	43	2	23	78	96	44	86	36	62	37	42	21	0	
